"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL117181";"DIETHYL SULFIDE";"Diethyl Sulfide|Ethylsulfanyl-Ethane";"Small molecule";"0";"90.19";"1";"2";"1.76";"0.00";"1";"0";"0";"2";"Y";"0.50";"None";"None";"1.73";"1.73";"0";"MOL";"-1";"5";"0";"0";"0";"90.0503";"None";"C4H10S";"CCSCC"
"CHEMBL1231396";"BUTYRAMIDE";"";"Small molecule";"0";"87.12";"1";"2";"0.27";"43.09";"1";"1";"0";"2";"Y";"0.52";"None";"None";"0.11";"0.11";"0";"MOL";"-1";"6";"2";"2";"0";"87.0684";"NEUTRAL";"C4H9NO";"CCCC(N)=O"
"CHEMBL295337";"";"1-Pentene|Pent-1-ene";"Small molecule";"0";"70.14";"6";"7";"1.97";"0.00";"0";"0";"0";"2";"Y";"0.44";"None";"None";"2.38";"2.38";"0";"MOL";"-1";"5";"0";"0";"0";"70.0783";"None";"C5H10";"C=CCCC"
"CHEMBL4647969";"";"";"";"0";"46.07";"2";"2";"-1.14";"52.04";"2";"2";"0";"0";"Y";"0.34";"None";"8.56";"-1.31";"-2.51";"0";"MOL";"-1";"3";"2";"4";"0";"46.0531";"BASE";"CH6N2";"NCN"
"CHEMBL3276058";"";"";"Small molecule";"0";"96.13";"3";"4";"1.10";"12.53";"1";"0";"0";"0";"Y";"0.32";"None";"None";"1.01";"1.01";"0";"MOL";"-1";"7";"1";"0";"0";"96.0575";"NEUTRAL";"C6H8O";"C1=CCC2OC2C1"
"CHEMBL324784";"FORMALDOXIME";"Formaldehyde Oxime";"Small molecule";"0";"45.04";"1";"1";"0.08";"32.59";"2";"1";"0";"0";"Y";"0.23";"10.94";"3.14";"-0.46";"-0.46";"0";"MOL";"-1";"3";"2";"1";"0";"45.0215";"NEUTRAL";"CH3NO";"C=NO"
"CHEMBL2311071";"VINYL CHLORIDE";"VINYL CHLORIDE";"Small molecule";"4";"62.50";"";"";"1.37";"0.00";"0";"0";"0";"0";"Y";"0.40";"None";"None";"1.42";"1.42";"0";"MOL";"0";"3";"0";"0";"0";"61.9923";"None";"C2H3Cl";"C=CCl"
"CHEMBL256368";"PENTENAL";"2-Pentenal|Pent-2-enal";"Small molecule";"0";"84.12";"26";"38";"1.15";"17.07";"1";"0";"0";"2";"Y";"0.36";"None";"None";"1.21";"1.21";"0";"MOL";"-1";"6";"1";"0";"0";"84.0575";"NEUTRAL";"C5H8O";"CC/C=C/C=O"
"CHEMBL333905";"DIAMIDOPHOSPHATE";"Phosphorodiamidic Acid";"Small molecule";"0";"96.03";"1";"2";"-1.00";"89.34";"1";"3";"0";"0";"N";"0.34";"5.66";"None";"-2.17";"-3.83";"0";"MOL";"-1";"5";"4";"5";"0";"96.0089";"ACID";"H5N2O2P";"NP(N)(=O)O"
"CHEMBL79455";"";"";"Small molecule";"0";"42.02";"3";"13";"0.87";"58.70";"0";"0";"0";"0";"Y";"0.22";"5.09";"None";"0.08";"-0.15";"0";"MOL";"-1";"3";"3";"0";"0";"42.0098";"ACID";"N3-";"[N-]=[N+]=[N-]"
